BM_IgA_1	BM_IgA_2	BM_IgA_3	BM_IgA_4	BM_IgG_1	BM_IgG_2	BM_IgG_3	BM_IgG_4	BM_IgM_1	BM_IgM_3	BM_IgM_4
Gm12936	0	1	0	1	0	0	1	0	0	0	0
Gm12937	0	0	0	0	0	0	0	0	0	0	0
Gm12939	0	0	0	0	0	0	0	0	0	0	0
Gm12940	99	120	103	100	81	99	76	46	170	91	108
Gm12941	0	0	0	0	0	1	1	0	0	0	0
Gm12943	0	2	0	0	0	0	0	0	0	0	0
Gm12944	0	1	6	0	0	0	0	0	0	0	0
Gm12945	0	0	0	1	0	0	0	0	2	0	0
Gm12946	0	2	0	0	0	0	0	2	1	0	0
Gm12947	0	1	0	0	0	0	0	0	0	0	0
Gm12948	0	0	0	0	0	0	0	0	0	0	0
Gm12949	0	0	1	0	0	0	0	0	0	0	0
Gm12950	0	0	0	0	0	1	0	0	0	1	0
Gm12951	0	0	0	0	0	0	0	0	0	0	0
Gm12953	6	3	6	2	0	11	12	7	6	15	10
Gm12954	0	0	0	0	0	0	0	0	0	0	0
Gm12955	0	1	3	0	1	2	0	1	0	1	3
Gm12956	0	0	0	0	0	0	0	0	1	0	0
Gm12957	2	0	3	1	0	0	0	0	0	0	0
Gm12958	0	0	0	0	0	0	0	0	0	0	0
Gm12959	1	0	0	0	1	0	0	1	0	1	0
Gm12960	0	1	5	0	0	0	0	0	0	4	0
Gm12961	0	1	3	0	1	0	0	0	0	0	0
Gm12962	0	0	1	0	0	0	0	0	0	0	0
Gm12963	1	1	1	0	1	3	0	0	0	0	3
Gm12966	27	24	26	20	15	15	34	28	39	36	29
Gm12967	0	0	1	0	0	0	0	0	0	0	0
Gm12968	0	0	1	1	0	0	1	1	0	2	1
Gm12969	1	0	1	0	1	3	1	2	2	3	0
Gm12970	0	0	0	0	0	0	0	0	1	0	0
Gm12971	0	2	0	0	0	1	1	3	1	0	0
Gm12972	2	0	0	0	0	0	1	1	0	3	0
Gm12973	0	0	0	0	0	0	3	0	0	0	0
Gm12974	0	0	0	0	0	1	0	0	0	0	4
Gm12976	2	2	2	0	2	3	2	1	6	4	0
Gm12977	5	16	7	9	6	7	3	8	13	11	3
Gm12978	2	0	0	0	0	0	0	0	0	0	0
Gm12979	0	0	0	0	0	0	0	0	0	0	0
Gm12980	0	0	0	0	0	0	0	0	0	0	1
Gm12981	4	2	4	1	0	1	1	4	8	6	5
Gm12982	0	0	0	0	0	0	0	0	0	0	0
Gm12983	0	0	0	0	0	0	0	0	0	0	0
Gm12984	0	0	0	0	0	0	0	0	0	0	0
Gm12985	0	0	0	0	0	0	0	0	0	0	0
Gm12986	0	0	0	0	0	0	1	0	0	1	0
Gm12987	1	1	2	1	0	1	2	0	0	3	0
Gm12988	3	2	1	2	2	3	2	4	5	3	1
Gm12989	4	3	9	5	7	5	7	10	6	3	13
Gm12990	0	0	0	0	0	0	0	0	2	0	0
Gm12991	0	0	2	0	0	0	0	0	0	0	0
Gm12992	9	16	45	23	19	18	18	56	40	34	14
Gm12993	1	0	3	0	0	0	0	0	0	0	0
Gm12994	0	0	0	0	0	0	0	0	0	0	0
Gm12996	1	0	0	0	0	1	0	0	4	1	0
Gm12997	0	0	0	0	0	0	0	0	0	0	0
Gm12998	0	0	0	0	0	0	0	0	1	0	0
Gm12999	0	7	6	5	3	13	2	5	7	3	2
Gm13000	0	0	0	0	0	0	0	0	1	1	2
Gm13001	0	1	0	0	0	0	0	0	1	0	0
Gm13002	1	0	0	0	0	0	0	0	0	0	1
Gm13003	3	1	0	0	5	0	0	0	1	1	2
Gm13005	0	0	0	0	0	1	0	0	0	0	0
Gm13006	0	0	0	0	0	0	0	0	0	0	0
Gm13007	0	1	0	0	0	0	0	1	0	1	3
Gm13008	0	0	0	0	0	0	0	0	0	0	0
Gm13009	0	0	0	0	1	0	0	0	0	0	0
Gm13010	2	1	0	0	0	0	0	0	0	1	0
Gm13012	17	26	17	24	26	14	26	27	116	115	67
Gm13013	0	1	0	1	0	0	0	0	0	0	0
Gm13015	6	0	0	0	6	5	5	6	8	5	3
Gm13016	0	0	0	0	0	0	1	2	2	0	0
Gm13017	0	0	0	0	0	0	0	0	0	0	0
Gm13019	0	0	0	0	0	0	0	0	0	0	0
Gm13021	0	0	0	0	0	0	0	0	1	0	0
Gm13022	2	4	2	3	3	2	5	0	3	3	5
Gm13024	1	0	0	0	1	0	1	0	2	2	1
Gm13025	9	6	7	0	3	9	6	3	5	1	4
Gm13026	0	0	1	1	0	0	0	0	0	0	0
Gm13027	0	0	0	0	0	0	0	0	0	0	0
Gm13028	0	0	0	0	1	0	0	0	0	0	0
Gm13029	0	0	0	0	0	1	0	0	0	0	0
Gm13030	0	0	0	0	0	0	0	0	0	0	0
Gm13031	20	25	14	4	3	6	4	4	4	3	6
Gm13032	8	5	8	11	9	9	4	8	13	12	23
Gm13033	2	6	3	2	7	2	4	4	7	3	1
Gm13034	6	0	3	2	4	8	0	0	7	6	11
Gm13035	0	0	0	0	0	0	0	0	0	0	0
Gm13036	1	0	0	0	1	0	0	0	0	0	0
Gm13038	1	0	1	2	0	0	1	1	0	4	0
Gm13039	2	1	5	5	0	1	0	1	4	2	1
Gm13040	0	0	0	0	0	0	0	0	0	0	1
Gm13041	0	0	0	0	0	1	0	0	0	0	0
Gm13042	0	0	4	0	0	2	1	0	0	1	1
Gm13043	0	0	0	0	0	0	0	0	0	0	0
Gm13045	0	0	0	0	0	0	0	0	0	0	1
Gm13046	0	0	1	0	0	0	1	0	0	0	0
Gm13047	0	0	0	0	0	0	0	0	1	0	0
Gm13049	0	0	0	0	0	0	0	1	0	0	0
Gm13052	0	4	0	0	0	0	0	0	0	0	0
Gm13053	1	0	0	0	0	0	0	0	0	0	0
Gm13054	0	0	0	0	1	0	0	0	0	0	0
Gm13055	0	0	0	0	0	0	1	0	1	0	1
Gm13056	0	1	0	0	0	3	0	0	0	0	0
Gm13057	0	0	0	0	0	0	0	0	0	0	0
Gm13058	0	1	1	1	0	2	0	1	1	2	0
Gm13059	0	0	0	0	0	0	0	0	0	0	0
Gm13061	0	0	0	0	0	0	0	0	0	0	0
Gm13062	0	0	0	0	0	0	0	0	0	0	0
Gm13063	1	1	2	0	2	1	0	1	1	1	1
Gm13064	0	0	0	0	0	0	0	0	0	0	0
Gm13065	0	0	0	0	0	0	0	0	0	0	1
Gm13066	0	0	0	0	0	0	5	0	5	5	3
Gm13067	1	1	0	5	1	38	4	5	15	2	0
Gm13068	1	1	0	0	7	3	25	13	2	0	1
Gm13070	0	0	0	0	0	2	0	0	0	0	0
Gm13071	2	0	1	0	0	2	1	1	1	1	0
Gm13073	0	0	0	0	0	0	0	0	4	1	2
Gm13074	0	11	3	2	0	0	1	0	0	1	6
Gm13075	5	3	3	5	7	2	5	6	7	8	8
Gm13076	0	0	0	0	0	1	1	1	1	1	0
Gm13077	0	0	0	3	1	2	0	0	1	0	2
Gm13080	0	0	0	0	0	0	3	0	2	0	4
Gm13081	3	7	6	1	0	0	0	0	0	0	2
Gm13082	0	3	2	2	0	0	3	0	2	1	0
Gm13085	0	0	0	0	0	0	0	0	0	0	0
Gm13087	0	0	0	0	0	0	0	0	0	0	0
Gm13090	0	0	0	0	0	1	0	0	1	0	0
Gm13091	8	10	10	6	12	7	10	17	5	15	10
Gm13092	10	4	3	4	6	4	2	1	6	7	7
Gm13093	1	2	0	1	1	1	4	3	0	1	0
Gm13094	0	0	0	0	0	0	0	1	0	0	0
Gm13096	0	0	0	0	0	0	0	0	0	0	0
Gm13100	2	0	0	0	0	0	0	0	0	0	1
Gm13102	0	0	0	0	0	0	0	0	0	0	0
Gm13104	0	0	0	1	0	0	1	1	1	0	1
Gm13106	0	0	0	0	0	0	1	0	1	0	1
Gm13108	0	0	0	0	0	0	0	0	0	2	0
Gm13110	1	0	0	1	0	0	1	0	0	0	0
Gm13112	2	0	3	0	7	0	1	0	0	0	1
Gm13114	0	0	1	0	0	0	0	0	0	0	0
Gm13115	17	14	21	11	10	0	0	0	10	1	0
Gm13117	0	0	0	0	0	0	0	0	0	0	0
Gm13118	0	0	0	0	0	0	0	0	0	0	0
Gm13120	0	2	0	0	0	0	0	0	0	2	0
Gm13121	0	1	0	0	0	0	0	0	0	3	3
Gm13122	0	0	0	0	0	0	0	0	0	0	0
Gm13123	0	0	0	0	2	0	0	0	0	2	0
Gm13126	2	0	2	1	0	2	0	1	0	3	0
Gm13127	17	12	21	16	12	10	12	9	17	21	29
Gm13130	0	0	0	0	0	0	0	0	0	0	0
Gm13131	0	1	0	0	0	0	0	1	0	0	1
Gm13132	0	0	0	0	0	1	1	0	0	0	0
Gm13133	1	0	0	0	0	0	0	0	0	0	0
Gm13134	7	13	14	5	4	6	5	1	5	6	7
Gm13135	0	6	0	0	2	0	9	18	13	27	0
Gm13136	0	5	5	3	0	1	5	5	7	5	6
Gm13137	0	0	0	0	0	0	0	0	2	0	0
Gm13140	5	5	6	1	1	1	0	0	0	5	1
Gm13141	0	0	0	0	0	0	0	0	0	0	0
Gm13142	4	7	1	4	6	5	4	7	4	0	4
Gm13144	0	0	0	1	0	0	0	0	0	0	0
Gm13146	0	0	0	0	0	0	3	1	0	0	0
Gm13147	3	1	0	0	4	1	0	4	0	1	3
Gm13148	0	1	1	0	1	0	0	0	0	1	1
Gm13149	0	0	0	0	0	0	0	0	0	0	0
Gm13153	0	0	1	0	0	0	1	2	0	1	0
Gm13155	0	0	0	0	0	0	0	0	0	0	0
Gm13156	0	1	0	0	0	0	1	0	0	0	0
Gm13158	0	0	0	0	0	0	0	0	0	0	0
Gm13160	0	0	0	0	0	2	1	2	0	1	3
Gm13161	0	0	0	0	0	0	0	0	0	0	0
Gm13162	0	0	0	0	1	0	0	0	0	0	1
Gm13163	0	0	0	0	0	0	0	0	0	0	0
Gm13165	0	0	0	0	0	0	0	0	0	0	0
Gm13166	7	10	11	14	8	17	15	20	25	32	23
Gm13167	0	0	0	0	0	0	0	0	0	0	0
Gm13168	0	0	0	1	0	0	0	0	0	0	0
Gm13169	5	6	6	4	4	1	6	8	4	6	10
Gm13170	0	0	0	0	0	0	0	0	0	0	0
Gm13171	2	0	1	0	0	1	1	1	0	0	0
Gm13172	0	1	0	1	2	1	0	2	1	2	1
Gm13173	0	0	0	0	0	0	0	0	0	0	0
Gm13174	0	0	0	0	0	0	0	0	0	0	0
Gm13175	0	0	1	0	0	0	1	0	0	0	0
Gm13176	0	0	0	0	1	0	0	1	0	0	0
Gm13179	0	0	1	0	0	0	0	0	0	0	0
Gm13180	0	0	0	0	0	0	0	0	0	0	0
Gm13181	0	3	4	1	2	1	0	4	1	0	4
Gm13182	0	0	0	0	0	0	0	0	0	0	0
Gm13183	0	0	0	1	0	0	0	0	0	1	0
Gm13184	0	0	1	0	1	0	0	0	0	1	0
Gm13185	6	1	2	1	1	6	0	2	3	1	3
Gm13186	0	3	0	0	1	0	3	2	1	2	0
Gm13187	0	1	0	0	0	2	0	0	0	0	0
Gm13188	0	1	1	0	1	0	0	2	1	0	0
Gm13189	0	0	0	0	0	0	0	0	0	0	0
Gm13191	0	0	0	0	0	0	0	0	0	0	0
Gm13192	5	0	0	0	0	0	3	0	0	5	7
Gm13193	0	0	0	0	0	1	1	0	3	0	0
Gm13194	0	0	0	0	0	0	0	0	0	0	0
Gm13195	0	0	0	0	0	0	0	0	0	0	0
Gm13196	2	1	0	2	0	0	0	0	1	1	0
Gm13197	0	0	0	0	0	2	0	0	0	0	0
Gm13198	2	1	0	0	0	2	1	1	1	1	2
Gm13199	4	1	3	3	1	3	3	5	4	4	5
Gm13200	1	0	0	0	0	0	0	0	0	0	0
Gm13201	2	1	0	0	0	0	0	0	0	0	1
Gm13203	0	1	2	1	1	3	4	2	1	0	3
Gm13204	7	4	7	6	4	8	6	9	6	3	2
Gm13205	26	26	23	33	20	10	25	29	14	32	26
Gm13206	0	0	0	0	0	0	0	0	1	0	0
Gm13207	0	1	3	0	2	1	0	1	0	1	0
Gm13209	2	0	1	0	0	0	0	0	0	0	0
Gm13210	0	0	0	0	0	0	0	0	0	0	0
Gm13211	0	0	0	0	0	1	0	0	0	0	0
Gm13213	2	4	2	4	0	1	3	7	1	2	11
Gm13214	0	1	0	0	0	0	0	2	1	0	1
Gm13215	0	1	1	0	0	0	0	0	6	2	4
Gm13216	1	1	0	1	4	0	5	0	1	0	0
Gm13217	0	0	0	0	0	0	3	0	0	0	5
Gm13219	3	0	2	3	0	3	1	1	3	4	0
Gm13220	0	0	0	0	0	0	0	0	0	0	0
Gm13221	0	0	0	0	0	0	0	0	0	0	0
Gm13222	0	0	0	0	0	0	0	0	0	0	0
Gm13223	0	0	2	0	0	0	1	1	0	0	0
Gm13224	0	0	0	0	0	0	0	0	0	0	0
Gm13226	0	0	0	0	0	1	0	2	1	0	0
Gm13228	0	0	0	0	0	0	0	0	0	1	0
Gm13229	0	0	0	0	0	0	0	0	0	0	0
Gm13230	4	0	1	0	1	1	0	5	4	5	2
Gm13231	0	0	0	0	0	0	2	0	2	3	3
Gm13232	0	0	0	0	0	0	0	0	0	0	0
Gm13233	0	0	0	0	0	0	0	0	0	0	0
Gm13234	0	0	0	0	0	0	0	0	0	0	0
Gm13236	0	2	0	0	0	0	0	0	2	0	0
Gm13237	3	15	0	8	3	0	7	18	0	0	4
Gm13238	0	0	0	1	2	2	0	1	3	2	0
Gm13239	1	0	0	0	0	0	0	0	0	0	0
Gm13240	0	0	0	0	0	0	0	0	0	0	0
Gm13241	0	0	0	0	0	0	1	1	0	1	1
Gm13243	0	0	0	0	0	2	0	0	0	0	0
Gm13244	0	0	0	0	0	0	0	0	0	0	0
Gm13245	0	0	0	1	0	1	0	0	0	0	0
Gm13246	0	0	0	0	0	0	0	0	0	0	0
Gm13249	0	0	0	0	0	0	0	0	0	0	0
Gm13250	0	0	0	0	0	1	0	0	2	0	0
Gm13252	0	1	0	0	0	0	0	1	0	0	1
Gm13254	0	0	1	0	0	1	0	0	0	0	0
Gm13255	0	0	0	0	0	0	0	0	0	0	0
Gm13256	0	0	0	0	0	0	0	1	1	0	0
Gm13257	0	0	0	1	0	0	0	0	0	0	0
Gm13259	0	0	0	0	0	0	0	0	0	0	0
Gm13260	1	0	0	0	1	1	1	0	6	2	0
Gm13261	0	0	1	0	5	1	4	0	5	0	0
Gm13262	1	4	4	5	1	2	2	1	0	3	6
Gm13263	1	0	0	0	1	0	0	0	0	0	0
Gm13264	0	0	0	0	0	1	0	1	0	0	0
Gm13265	0	0	0	0	0	0	0	0	0	0	1
Gm13266	1	2	0	0	0	0	0	0	0	0	0
Gm13267	1	0	0	0	1	0	2	1	0	11	0
Gm13268	0	1	3	2	0	0	1	0	0	2	1
Gm13269	0	1	0	0	0	0	0	0	0	0	0
Gm13270	9	5	7	6	8	6	1	12	24	18	5
Gm13271	0	0	0	0	0	0	0	0	0	0	0
Gm13272	2	0	0	0	0	0	0	0	0	0	0
Gm13273	0	0	0	0	0	0	0	0	0	0	0
Gm13274	0	0	0	0	1	0	1	0	33	1	0
Gm13275	0	0	0	1	0	0	0	0	0	0	0
Gm13276	0	0	0	0	0	0	0	0	0	0	0
Gm13277	0	0	0	0	0	0	0	0	0	0	0
Gm13278	0	0	0	0	0	0	0	0	0	0	0
Gm13279	0	0	0	0	0	0	0	0	0	0	0
Gm13281	0	0	0	0	0	0	0	0	0	0	0
Gm13282	0	2	0	0	0	0	0	0	0	0	0
Gm13283	0	0	0	0	0	0	0	0	0	0	0
Gm13284	0	0	0	0	0	0	0	0	0	0	0
Gm13285	0	0	0	0	0	0	0	2	0	0	3
Gm13286	0	0	0	0	0	0	0	0	0	0	0
Gm13287	0	0	0	1	0	0	0	0	0	0	0
Gm13288	0	4	2	1	0	0	0	0	6	2	0
Gm13289	0	0	0	0	0	0	0	0	0	0	0
Gm13290	0	0	0	0	0	0	0	0	0	0	3
Gm13291	0	0	0	0	0	0	0	0	0	0	0
Gm13292	0	0	0	0	2	0	10	14	2	0	7
Gm13293	1	1	2	0	1	1	0	0	0	1	1
Gm13294	0	0	1	0	0	0	0	0	0	0	1
Gm13296	0	0	0	0	0	0	1	0	2	1	0
Gm13297	0	0	0	0	0	0	0	1	0	0	0
Gm13299	0	0	0	0	0	0	0	0	0	0	0
Gm1330	0	0	0	0	0	0	1	0	0	0	0
Gm13301	0	0	0	0	0	2	0	0	0	0	1
Gm13302	0	0	0	0	0	0	0	0	0	0	0
Gm13304	0	0	0	0	0	0	0	1	0	0	0
Gm13305	0	0	0	0	0	0	0	0	6	1	1
Gm13306	0	0	0	0	0	0	0	0	0	2	0
Gm13307	0	2	0	1	0	1	0	0	1	0	1
Gm13310	1	1	0	1	1	0	0	0	1	1	0
Gm13311	0	0	0	0	0	0	0	0	0	0	0
Gm13312	0	0	1	0	0	1	0	0	2	0	0
Gm13313	0	0	0	0	0	0	0	0	0	0	1
Gm13314	0	0	0	0	0	0	0	0	0	0	0
Gm13315	1	0	3	0	1	0	0	4	0	1	1
Gm13316	0	0	0	0	0	0	2	0	0	0	0
Gm13320	0	0	0	0	0	0	0	0	0	0	0
Gm13321	1	1	0	0	1	0	0	1	0	0	0
Gm13322	0	0	0	0	0	0	0	0	0	0	0
Gm13323	0	0	0	1	0	0	0	0	0	0	0
Gm13324	1	3	6	3	2	1	1	5	2	0	3
Gm13325	0	0	1	0	0	0	0	0	0	0	0
Gm13326	1	1	0	0	1	0	0	0	3	1	1
Gm13327	2	2	2	0	0	0	0	0	1	0	0
Gm13328	2	5	2	2	2	4	4	0	2	12	4
Gm13329	0	0	0	0	1	0	0	1	0	0	0
Gm13330	1	0	0	0	0	0	0	0	0	0	0
Gm13331	1	5	0	4	0	0	0	0	0	0	0
Gm13332	0	2	0	0	0	0	0	0	1	1	0
Gm13333	1	0	0	0	0	0	0	0	0	0	0
Gm13335	0	0	0	0	0	0	0	0	0	0	0
Gm13337	0	2	0	3	0	1	3	1	1	6	0
Gm13338	0	0	0	0	0	0	0	0	0	0	0
Gm13339	0	0	0	0	0	0	0	0	0	0	0
Gm13340	10	7	2	3	3	8	5	10	7	7	6
Gm13341	2	5	7	0	1	4	6	0	5	0	4
Gm13342	1	0	1	0	2	0	2	3	2	6	2
Gm13343	0	0	0	0	0	0	1	0	0	1	0
Gm13344	0	0	0	0	0	0	0	0	0	0	0
Gm13345	0	0	0	0	0	0	0	0	0	1	0
Gm13346	0	2	0	2	1	1	1	0	1	2	3
Gm13347	0	0	1	0	1	0	0	0	0	0	0
Gm13348	0	0	0	0	0	0	0	0	0	0	0
Gm13349	0	1	0	3	3	1	1	0	8	8	2
Gm1335	0	0	0	0	1	0	1	0	1	1	0
Gm13350	0	0	0	0	0	0	0	0	1	0	1
Gm13351	3	0	0	0	1	1	3	0	1	1	2
Gm13352	0	1	0	0	0	0	2	0	0	0	0
Gm13353	0	0	0	0	0	0	0	0	0	0	0
Gm13355	0	0	0	0	0	0	0	0	0	0	1
Gm13356	0	1	0	0	0	0	0	0	0	0	0
Gm13357	1	2	3	4	3	5	5	9	5	4	3
Gm13358	1	0	0	0	0	0	1	0	0	1	0
Gm13359	0	1	1	0	0	1	0	1	1	1	2
Gm13360	0	3	3	3	0	1	0	0	0	0	0
Gm13361	0	0	0	0	0	1	0	0	1	0	1
Gm13362	0	0	1	1	0	0	0	0	1	0	0
Gm13363	0	0	0	0	0	0	0	0	0	0	0
Gm13365	0	0	0	0	0	0	0	0	0	0	1
Gm13366	0	1	0	0	0	5	0	3	0	0	1
Gm13367	0	1	0	0	0	0	0	0	0	0	0
Gm13368	2	0	0	2	0	0	0	0	0	0	0
Gm13369	2	4	2	4	3	0	0	2	5	3	0
Gm13370	0	0	0	0	0	0	0	0	0	0	0
Gm13371	0	0	0	0	0	0	0	0	0	0	0
Gm13372	0	0	0	0	0	0	0	0	0	0	0
Gm13373	2	0	3	0	0	2	0	1	0	0	0
Gm13375	8	6	9	5	5	7	7	5	12	15	14
Gm13376	0	0	0	0	0	0	0	3	0	0	0
Gm13377	5	0	0	0	0	0	0	0	0	0	0
Gm13378	0	26	28	0	9	21	30	15	21	31	36
Gm13379	1	0	0	1	0	0	0	3	0	1	2
Gm13380	1	0	3	0	1	0	0	2	3	0	0
Gm13381	8	40	16	3	0	0	0	0	2	0	0
Gm13383	7	6	12	3	5	14	17	3	8	20	9
Gm13384	0	0	0	0	0	0	0	0	3	0	0
Gm13385	0	0	0	0	0	0	0	0	0	0	0
Gm13386	0	0	0	0	0	0	0	0	0	0	0
Gm13387	0	1	4	0	0	0	1	0	1	3	3
Gm13388	0	0	0	0	0	0	0	1	2	0	1
Gm13389	0	2	0	0	0	1	0	0	0	0	0
Gm13391	0	0	2	1	0	5	1	0	0	2	0
Gm13392	0	0	0	0	0	0	0	0	0	0	0
Gm13393	0	0	0	0	0	0	0	0	0	0	0
Gm13394	0	2	4	17	0	12	7	12	34	4	18
Gm13396	0	0	0	0	0	0	0	0	0	0	0
Gm13397	0	1	0	0	0	1	0	0	0	4	1
Gm13398	0	6	0	1	0	0	2	2	1	3	11
Gm13400	2	0	6	3	2	6	2	0	3	2	0
Gm13401	0	0	0	0	0	0	0	0	0	0	1
Gm13402	0	0	2	0	0	0	0	0	0	1	0
Gm13403	1	2	8	2	0	0	0	0	4	4	4
Gm13404	0	0	0	0	0	0	0	1	0	0	0
Gm13405	6	7	4	2	0	4	0	0	4	6	0
Gm13406	0	0	0	1	0	0	0	0	0	0	1
Gm13407	0	0	2	0	0	2	1	0	0	1	1
Gm13408	4	6	0	0	0	0	4	0	12	4	6
Gm13409	0	0	2	0	0	0	0	0	0	0	0
Gm13410	0	0	0	0	0	1	2	1	1	2	2
Gm13411	0	0	0	0	0	0	0	0	0	1	0
Gm13412	0	0	0	0	0	0	0	0	0	0	0
Gm13413	2	2	0	0	1	1	0	1	1	0	3
Gm13414	3	0	0	0	0	0	0	0	0	0	0
Gm13415	15	0	1	0	0	2	1	1	0	0	1
Gm13416	0	0	0	0	1	0	0	0	0	0	0
Gm13417	1	0	0	0	0	1	0	0	0	0	0
Gm13418	1	0	1	0	0	0	0	1	0	0	0
Gm13419	0	0	1	0	0	0	0	0	0	0	0
Gm13420	1	11	5	2	0	3	4	2	5	6	0
Gm13421	12	11	9	16	11	11	9	18	21	28	24
Gm13422	12	10	16	14	20	18	18	18	18	13	15
Gm13423	12	3	8	8	13	8	9	10	9	19	7
Gm13424	0	0	0	0	0	0	0	0	0	0	0
Gm13425	1	8	4	1	1	2	2	1	2	2	2
Gm13426	0	0	0	1	0	0	0	0	0	0	0
Gm13427	0	0	2	1	0	0	0	0	2	0	1
Gm13428	2	1	0	0	0	0	1	0	0	0	0
Gm13429	0	3	1	0	0	2	0	0	1	0	1
Gm13430	0	0	0	0	0	0	0	0	0	0	3
Gm13431	0	1	0	0	0	0	0	0	0	0	0
Gm13432	0	0	0	0	0	1	0	0	0	0	1
Gm13433	0	0	1	1	0	0	1	3	0	0	1
Gm13435	1	0	0	0	0	0	0	0	0	0	0
Gm13436	11	12	13	9	14	15	18	13	13	9	19
Gm13437	0	1	1	0	0	1	0	0	1	3	0
Gm13438	1	1	0	0	0	0	0	0	0	0	0
Gm13439	0	0	0	0	0	0	0	0	0	0	0
Gm13441	0	1	0	0	0	0	0	0	0	0	0
Gm13442	0	0	1	0	0	1	0	0	1	1	0
Gm13444	1	0	1	0	0	0	0	1	0	0	3
Gm13445	0	0	1	0	0	0	0	0	0	0	0
Gm13446	0	0	3	0	3	1	0	0	3	0	0
Gm13448	2	0	0	1	0	0	3	0	0	2	0
Gm13449	5	1	4	1	3	2	0	0	2	0	0
Gm13450	4	1	1	0	0	4	4	0	4	4	1
Gm13451	0	0	0	0	0	0	0	0	0	0	1
Gm13452	0	0	0	0	1	0	0	0	0	0	0
Gm13453	11	4	11	12	5	2	9	7	2	20	7
Gm13454	0	0	0	0	0	0	0	0	0	1	0
Gm13455	0	0	0	0	1	0	0	0	0	0	0
Gm13456	38	42	67	44	57	42	58	52	81	79	73
Gm13457	0	0	0	0	0	0	0	0	0	0	0
Gm13458	0	0	0	0	0	0	0	0	0	0	0
Gm13459	0	0	0	0	1	0	0	0	0	0	0
Gm13460	0	0	0	0	0	0	0	0	0	1	0
Gm13461	37	33	9	42	69	27	42	70	28	29	49
Gm13462	1	0	1	0	0	0	1	0	1	0	0
Gm13463	0	0	0	0	0	0	0	0	0	0	0
Gm13464	2	0	2	1	0	0	3	6	0	2	0
Gm13465	0	0	0	0	0	0	0	0	0	0	0
Gm13466	2	2	0	0	2	2	2	1	5	2	2
Gm13467	0	0	0	0	0	0	0	6	0	0	0
Gm13469	0	1	1	2	0	0	0	1	1	2	2
Gm13470	0	0	0	0	0	1	0	0	0	0	0
Gm13471	0	0	0	0	0	0	0	0	0	0	0
Gm13472	0	0	0	0	0	0	0	1	0	0	1
Gm13473	0	0	0	0	0	0	0	0	0	0	0
Gm13474	0	0	0	1	0	0	0	0	1	0	0
Gm13475	0	0	0	0	0	0	0	0	0	0	0
Gm13477	1	4	0	1	0	2	2	0	0	7	1
Gm13478	2	0	0	0	1	1	0	0	0	0	3
Gm13479	3	2	1	3	0	1	3	1	3	1	0
Gm13480	0	0	1	1	1	0	0	0	0	0	0
Gm13481	0	2	0	0	0	0	0	0	0	0	0
Gm13482	0	0	0	0	0	0	0	0	0	0	0
Gm13483	1	1	3	0	0	1	0	0	0	1	3
Gm13484	0	1	0	0	0	0	2	0	0	0	0
Gm13485	0	0	1	0	0	0	2	0	0	0	0
Gm13486	0	0	0	0	0	0	0	0	0	1	0
Gm13487	2	1	1	3	0	1	1	1	4	0	3
Gm13488	0	0	0	0	0	0	0	0	0	0	0
Gm13489	1	0	2	0	0	2	0	0	1	0	0
Gm13490	2	3	1	1	1	1	2	4	1	3	0
Gm13491	0	0	0	0	0	0	0	0	0	0	0
Gm13492	6	1	1	6	5	2	1	6	11	7	3
Gm13493	7	3	3	4	1	0	3	8	0	0	0
Gm13494	0	0	0	1	0	0	0	0	0	0	0
Gm13495	0	0	0	0	0	0	0	0	0	0	0
Gm13496	3	0	2	2	1	1	1	1	1	5	4
Gm13497	0	0	0	0	1	0	0	0	0	0	0
Gm13498	2	2	2	2	1	2	1	2	1	1	2
Gm13499	0	0	0	0	0	1	0	0	1	0	0
Gm13500	1	3	5	2	1	0	1	1	1	2	1
Gm13501	3	0	0	0	1	0	0	0	0	0	0
Gm13503	1	1	3	1	1	2	0	1	0	2	1
Gm13504	0	0	0	0	0	0	0	1	0	0	0
Gm13505	0	0	0	0	0	0	0	0	0	0	1
Gm13506	1	0	0	0	0	0	0	0	0	1	0
Gm13508	0	1	0	0	1	0	0	0	0	0	0
Gm13510	0	0	1	0	0	0	0	0	0	0	1
Gm13511	0	4	2	0	3	1	2	1	1	0	0
Gm13517	3	1	3	1	0	1	1	6	2	0	0
Gm13518	0	0	1	0	1	0	0	1	0	1	0
Gm13521	0	0	6	0	0	0	0	0	1	0	0
Gm13522	6	9	5	1	4	1	3	0	0	4	2
Gm13523	2	6	1	0	3	2	3	3	5	5	2
Gm13524	33	34	50	9	6	26	29	23	11	17	19
Gm13525	1	0	0	0	1	0	0	0	0	0	0
Gm13527	0	0	0	1	1	0	2	1	0	1	1
Gm13528	1	0	0	1	0	1	1	0	1	1	0
Gm13529	0	2	0	0	0	2	0	1	0	0	0
Gm13530	0	0	0	1	0	0	0	0	0	0	0
Gm13531	0	0	1	0	0	0	0	0	0	1	0
Gm13532	0	0	5	0	4	0	0	0	0	0	2
Gm13533	0	0	0	0	0	0	0	0	0	0	0
Gm13534	0	0	0	0	0	0	0	0	0	0	0
Gm13535	0	2	2	0	1	0	0	0	0	0	0
Gm13536	0	0	0	0	0	1	0	0	0	0	0
Gm13537	0	0	0	0	0	0	0	0	0	1	0
